id,studyweek2,semester,date,correcttod,LON,LAT,nomaskincor,socialdist,Masksd,agegroup,white,sex,obese
1,2,1,9/3/2020,115835,39.682205,-75.74742,0,1,1,4,1,2,1
2,2,1,9/3/2020,115849,39.682101,-75.74722,0,0,0,2,1,1,1
3,2,1,9/3/2020,115849,39.682094,-75.74723,0,0,0,2,1,1,0
4,2,1,9/3/2020,115854,39.682162,-75.74663,1,1,1,3,0,2,0
5,2,1,9/3/2020,115902,39.682227,-75.74592,9,1,1,2,1,1,0
6,2,1,9/3/2020,115930,39.682093,-75.74510,1,0,1,2,0,2,1
7,2,1,9/3/2020,115930,39.682082,-75.74510,1,0,1,2,0,2,0
8,2,1,9/3/2020,115944,39.682464,-75.74555,9,1,1,4,0,2,1
9,2,1,9/3/2020,120005,39.682992,-75.74549,0,1,1,2,1,2,0
10,2,1,9/3/2020,120001,39.68317,-75.74548,0,1,1,3,1,1,0
11,2,1,9/3/2020,120033,39.6837,-75.74567,9,1,1,2,1,2,0
12,2,1,9/3/2020,115655,39.678996,-75.74870,1,1,1,2,1,2,1
13,2,1,9/3/2020,115711,39.67925,-75.74861,1,1,1,2,1,1,0
14,2,1,9/3/2020,115711,39.679279,-75.74859,1,1,1,2,0,1,0
15,2,1,9/3/2020,115740,39.679452,-75.74840,1,1,1,2,1,2,0
16,2,1,9/3/2020,114851,39.681173,-75.74948,1,1,1,2,1,1,0
17,2,1,9/3/2020,114855,39.681173,-75.74950,1,1,1,3,1,2,1
18,2,1,9/3/2020,115050,39.67965,-75.74965,1,1,1,2,1,1,0
19,2,1,9/3/2020,115123,39.679435,-75.74923,1,0,1,2,1,2,1
20,2,1,9/3/2020,115123,39.679439,-75.74922,0,0,0,2,1,2,0
21,2,1,9/3/2020,115123,39.679433,-75.74922,0,0,0,2,1,2,0
22,2,1,9/3/2020,115126,39.679607,-75.74949,0,0,0,2,1,2,1
23,2,1,9/3/2020,115126,39.679603,-75.74948,0,0,0,2,1,1,0
24,2,1,9/3/2020,115132,39.678874,-75.74992,0,1,1,2,1,2,0
25,2,1,9/3/2020,115144,39.678269,-75.74988,0,1,1,2,1,2,0
26,2,1,9/3/2020,115245,39.678678,-75.74887,0,0,0,2,1,1,0
27,2,1,9/3/2020,115245,39.678672,-75.74888,0,0,0,2,1,1,0
28,2,1,9/3/2020,112215,39.676966,-75.74817,0,1,1,2,1,1,0
29,2,1,9/3/2020,112215,39.67698,-75.74821,0,1,1,2,0,1,0
30,2,1,9/3/2020,112347,39.677069,-75.74722,0,1,1,2,1,2,0
31,2,1,9/3/2020,112425,39.67727,-75.74874,0,0,0,2,1,2,0
32,2,1,9/3/2020,112425,39.677276,-75.74873,0,0,0,2,1,2,0
33,2,1,9/3/2020,112436,39.677378,-75.74911,1,0,1,3,1,1,0
34,2,1,9/3/2020,112436,39.677385,-75.74910,0,0,0,2,1,1,0
35,2,1,9/3/2020,112436,39.677384,-75.74912,0,0,0,3,1,2,0
36,2,1,9/3/2020,112436,39.677387,-75.74911,1,0,1,2,1,2,0
37,2,1,9/3/2020,112614,39.677103,-75.75018,0,1,1,2,1,2,0
38,2,1,9/3/2020,112646,39.677512,-75.75013,0,1,1,2,1,1,0
39,2,1,9/3/2020,112657,39.677301,-75.75015,1,1,1,2,0,1,0
40,2,1,9/3/2020,112851,39.67823,-75.75173,1,0,1,2,1,2,0
41,2,1,9/3/2020,112851,39.678229,-75.75172,0,0,0,2,1,1,1
42,2,1,9/3/2020,112851,39.678238,-75.75173,0,0,0,2,1,2,0
43,2,1,9/3/2020,112911,39.678066,-75.75240,1,0,1,3,1,2,1
44,2,1,9/3/2020,112911,39.678081,-75.75240,1,0,1,2,1,2,1
45,2,1,9/3/2020,112911,39.678077,-75.75241,1,0,1,2,1,2,1
46,2,1,9/3/2020,112921,39.677717,-75.75232,1,1,1,4,1,2,1
47,2,1,9/3/2020,112901,39.677342,-75.75174,0,0,0,2,1,2,0
48,2,1,9/3/2020,112901,39.677339,-75.75173,0,0,0,2,1,2,0
49,2,1,9/3/2020,113039,39.678614,-75.75240,1,1,1,3,0,1,0
50,2,1,9/3/2020,113112,39.678742,-75.75174,1,0,1,3,0,1,1
51,2,1,9/3/2020,113112,39.678744,-75.75172,1,0,1,3,1,2,0
52,2,1,9/3/2020,113149,39.678999,-75.75172,1,1,1,2,1,2,0
53,2,1,9/3/2020,113221,39.679452,-75.75178,0,1,1,2,1,1,0
54,2,1,9/3/2020,113238,39.679605,-75.75193,0,1,1,2,1,2,0
55,2,1,9/3/2020,113317,39.678644,-75.75232,1,1,1,3,1,1,1
56,2,1,9/3/2020,113406,39.67821,-75.75134,1,0,1,2,1,1,0
57,2,1,9/3/2020,113406,39.678201,-75.75134,1,0,1,2,1,2,0
58,2,1,9/3/2020,113406,39.678193,-75.75134,1,0,1,2,1,2,0
59,2,1,9/3/2020,113426,39.67787,-75.75162,1,0,1,3,1,2,1
60,2,1,9/3/2020,113426,39.677862,-75.75162,0,0,0,3,1,1,1
61,2,1,9/3/2020,113426,39.677855,-75.75161,0,0,0,1,1,2,0
62,2,1,9/3/2020,113528,39.679036,-75.75342,0,1,1,2,1,1,0
63,2,1,9/3/2020,113612,39.679506,-75.75351,0,1,1,2,1,1,0
64,2,1,9/3/2020,113623,39.679857,-75.75364,1,1,1,3,0,1,0
65,2,1,9/3/2020,113809,39.680438,-75.75578,0,1,1,3,1,1,0
66,2,1,9/3/2020,113906,39.682161,-75.75504,1,1,1,3,0,1,0
67,2,1,9/3/2020,113919,39.682667,-75.75480,0,0,0,3,1,1,0
68,2,1,9/3/2020,113919,39.682656,-75.75481,1,0,1,2,1,1,0
69,2,1,9/3/2020,113928,39.682861,-75.75472,0,1,1,2,1,1,0
70,2,1,9/3/2020,114017,39.682193,-75.75385,0,0,0,2,1,2,0
71,2,1,9/3/2020,114017,39.68219,-75.75387,0,0,0,2,1,2,0
72,2,1,9/3/2020,114316,39.6819,-75.75259,0,1,1,2,1,1,0
73,2,1,9/3/2020,114329,39.682372,-75.75226,1,1,1,4,1,1,1
74,2,1,9/3/2020,114332,39.682439,-75.75226,0,0,0,2,1,1,0
75,2,1,9/3/2020,114332,39.682428,-75.75226,0,0,0,2,1,1,0
76,2,1,9/3/2020,114338,39.682706,-75.75235,0,0,0,2,1,1,0
77,2,1,9/3/2020,114338,39.682718,-75.75236,0,0,0,2,1,2,0
78,2,1,9/3/2020,114341,39.682732,-75.75228,0,1,1,2,0,1,0
79,2,1,9/3/2020,114342,39.682796,-75.75236,0,1,1,4,1,2,0
80,2,1,9/3/2020,114342,39.682899,-75.75235,0,1,1,4,1,1,1
81,2,1,9/3/2020,114434,39.681767,-75.75157,1,1,1,2,1,1,0
82,2,1,9/3/2020,114436,39.681779,-75.75145,1,1,1,2,1,2,1
83,2,1,9/3/2020,114541,39.681391,-75.75044,1,0,1,3,0,2,1
84,2,1,9/3/2020,114541,39.681386,-75.75042,1,0,1,3,0,2,0
85,2,1,9/3/2020,114703,39.682117,-75.74758,0,1,1,2,1,1,0
86,2,1,9/3/2020,114703,39.682086,-75.74756,0,1,1,2,1,1,0
87,2,1,9/3/2020,114724,39.682084,-75.74723,1,1,1,3,1,1,0
88,2,1,9/3/2020,114735,39.682207,-75.74739,1,1,1,3,0,2,1
89,2,1,9/3/2020,114737,39.682244,-75.74726,1,1,1,2,1,1,0
90,2,1,9/3/2020,120136,39.683582,-75.74544,0,1,1,2,1,2,0
91,2,1,9/3/2020,120141,39.683703,-75.74563,0,1,1,2,1,1,0
92,2,1,9/3/2020,120148,39.683553,-75.74567,0,1,1,3,1,1,0
93,2,1,9/3/2020,120159,39.683518,-75.74605,1,1,1,2,1,2,0
94,2,1,9/3/2020,120203,39.683516,-75.74628,0,1,1,2,1,2,0
95,2,1,9/3/2020,120233,39.68361,-75.74679,0,1,1,2,1,2,0
96,2,1,9/3/2020,120237,39.683445,-75.74684,1,1,1,2,1,2,0
97,2,1,9/3/2020,120237,39.683437,-75.74691,1,0,1,2,1,2,0
98,2,1,9/3/2020,120237,39.683449,-75.74692,1,0,1,2,1,2,0
99,2,1,9/3/2020,120242,39.68359,-75.74717,0,0,0,3,1,1,1
100,2,1,9/3/2020,120242,39.683602,-75.74718,0,0,0,3,1,2,0
101,2,1,9/3/2020,120244,39.683416,-75.74717,0,1,1,2,1,2,0
102,2,1,9/3/2020,120250,39.683542,-75.74731,0,1,1,3,1,1,0
103,2,1,9/3/2020,120254,39.683407,-75.74723,1,0,1,2,1,2,0
104,2,1,9/3/2020,120254,39.683415,-75.74725,1,0,1,2,1,2,0
105,2,1,9/3/2020,120254,39.683406,-75.74728,0,0,0,2,1,2,0
106,2,1,9/3/2020,120254,39.683407,-75.74730,0,0,0,2,1,2,0
107,2,1,9/3/2020,120254,39.6834,-75.74737,0,1,1,2,1,1,0
108,2,1,9/3/2020,120254,39.683432,-75.74737,1,1,1,2,1,2,0
109,2,1,9/3/2020,120259,39.683405,-75.74752,0,1,1,2,1,1,0
110,2,1,9/3/2020,120305,39.683553,-75.74764,1,0,1,2,1,2,0
111,2,1,9/3/2020,120305,39.683561,-75.74763,1,0,1,2,1,2,0
112,2,1,9/3/2020,120305,39.68357,-75.74763,1,0,1,2,1,2,0
113,2,1,9/3/2020,120305,39.683572,-75.74762,0,0,0,2,1,2,0
114,2,1,9/3/2020,120311,39.683416,-75.74751,1,0,1,2,1,2,0
115,2,1,9/3/2020,120311,39.683407,-75.74752,1,0,1,2,1,2,1
116,2,1,9/3/2020,120336,39.683376,-75.74800,0,0,0,3,1,2,0
117,2,1,9/3/2020,120336,39.683386,-75.74800,0,0,0,3,1,1,0
118,2,1,9/3/2020,120344,39.683506,-75.74809,1,1,1,2,1,2,0
119,2,1,9/3/2020,120344,39.68351,-75.74802,1,0,1,2,1,2,0
120,2,1,9/3/2020,120344,39.683517,-75.74802,0,0,0,3,1,2,1
121,2,1,9/3/2020,120425,39.683489,-75.74838,1,1,1,4,1,1,0
122,2,1,9/3/2020,120425,39.683472,-75.74835,1,1,1,3,0,2,1
123,2,1,9/3/2020,120452,39.683498,-75.74875,0,1,1,3,0,2,1
124,2,1,9/3/2020,120452,39.683458,-75.74868,0,1,1,3,1,1,0
125,2,1,9/3/2020,120504,39.683452,-75.74890,0,1,1,2,1,2,0
126,2,1,9/3/2020,120512,39.683281,-75.74913,1,0,1,2,0,1,1
127,2,1,9/3/2020,120512,39.683291,-75.74914,1,0,1,2,0,1,0
128,2,1,9/3/2020,120512,39.683425,-75.74919,0,1,1,2,1,2,0
129,2,1,9/3/2020,120528,39.683401,-75.74946,1,1,1,2,1,2,0
130,2,1,9/3/2020,120536,39.683261,-75.74930,0,0,0,2,1,2,0
131,2,1,9/3/2020,120536,39.683271,-75.74931,0,0,0,2,1,2,0
132,2,1,9/3/2020,120536,39.68328,-75.74932,0,0,0,2,1,2,0
133,2,1,9/3/2020,120549,39.683273,-75.74922,0,0,0,3,1,2,0
134,2,1,9/3/2020,120549,39.683283,-75.74923,0,0,0,2,1,2,0
135,2,1,9/3/2020,120549,39.683288,-75.74922,0,0,0,3,1,1,1
136,2,1,9/3/2020,120557,39.683255,-75.74945,0,1,1,2,1,2,0
137,2,1,9/3/2020,120604,39.683381,-75.74984,1,1,1,2,1,1,0
138,2,1,9/3/2020,120608,39.683216,-75.74998,1,1,1,2,1,2,0
139,2,1,9/3/2020,120614,39.683201,-75.75006,1,1,1,2,1,1,0
140,2,1,9/3/2020,120615,39.68317,-75.74995,0,1,1,3,1,1,0
141,2,1,9/3/2020,120616,39.683108,-75.74995,0,1,1,3,1,1,0
142,2,1,9/3/2020,120625,39.683222,-75.74993,1,1,1,2,1,2,1
