id,Masksd 0=Mask Non-Complient and Not Social Distancing; 1 = Mask Complient and Social Distancing; 9= could not be determined
2229.00,0.00
358.00,0.00
2275.00,0.00
2230.00,1.00
2231.00,1.00
201.00,0.00
61.00,0.00
419.00,0.00
205.00,0.00
541.00,0.00
542.00,0.00
2017.00,0.00
2220.00,1.00
2243.00,0.00
2215.00,1.00
2244.00,1.00
2246.00,9.00
2245.00,1.00
422.00,1.00
449.00,0.00
448.00,1.00
2138.00,1.00
2139.00,1.00
2140.00,1.00
2256.00,0.00
2257.00,0.00
180.00,0.00
179.00,0.00
181.00,0.00
182.00,0.00
2074.00,1.00
2073.00,1.00
178.00,0.00
1588.00,0.00
1589.00,0.00
130.00,0.00
131.00,0.00
132.00,0.00
134.00,0.00
2277.00,1.00
105.00,0.00
106.00,0.00
390.00,0.00
392.00,0.00
394.00,0.00
2274.00,1.00
103.00,1.00
104.00,1.00
114.00,1.00
1574.00,1.00
1575.00,1.00
115.00,1.00
1567.00,1.00
1568.00,1.00
2005.00,0.00
2004.00,0.00
2006.00,0.00
1564.00,1.00
1565.00,1.00
2002.00,1.00
2003.00,1.00
3.00,0.00
2.00,0.00
548.00,1.00
221.00,0.00
220.00,1.00
375.00,0.00
373.00,0.00
377.00,1.00
379.00,1.00
381.00,1.00
2046.00,1.00
2047.00,1.00
309.00,0.00
311.00,0.00
478.00,0.00
479.00,1.00
2105.00,1.00
2117.00,0.00
2118.00,0.00
2104.00,1.00
2108.00,1.00
2109.00,1.00
164.00,1.00
2055.00,1.00
163.00,1.00
165.00,1.00
2056.00,1.00
2057.00,1.00
2058.00,1.00
166.00,1.00
167.00,0.00
168.00,0.00
482.00,0.00
484.00,0.00
483.00,0.00
485.00,0.00
486.00,0.00
319.00,0.00
321.00,0.00
2121.00,1.00
2120.00,1.00
466.00,0.00
467.00,0.00
188.00,0.00
194.00,1.00
2084.00,1.00
187.00,1.00
193.00,1.00
195.00,1.00
2083.00,1.00
2251.00,0.00
2249.00,0.00
2250.00,1.00
2248.00,0.00
217.00,1.00
218.00,0.00
405.00,1.00
442.00,1.00
2179.00,1.00
2028.00,0.00
2289.00,0.00
34.00,0.00
76.00,0.00
23.00,0.00
26.00,0.00
27.00,0.00
74.00,0.00
75.00,0.00
272.00,0.00
280.00,0.00
320.00,0.00
322.00,0.00
324.00,0.00
253.00,0.00
306.00,0.00
215.00,0.00
202.00,0.00
2223.00,0.00
527.00,0.00
2041.00,0.00
2052.00,0.00
2078.00,0.00
2148.00,0.00
2151.00,0.00
2026.00,0.00
2288.00,1.00
56.00,1.00
68.00,1.00
294.00,1.00
425.00,1.00
441.00,1.00
238.00,1.00
239.00,1.00
267.00,1.00
2242.00,1.00
2077.00,1.00
2079.00,1.00
2149.00,1.00
2150.00,1.00
2152.00,1.00
41.00,0.00
525.00,0.00
2025.00,0.00
401.00,1.00
113.00,0.00
146.00,0.00
183.00,0.00
184.00,0.00
198.00,0.00
199.00,0.00
225.00,0.00
31.00,0.00
32.00,0.00
42.00,0.00
47.00,0.00
48.00,0.00
71.00,0.00
70.00,0.00
77.00,0.00
20.00,0.00
21.00,0.00
274.00,0.00
292.00,0.00
300.00,0.00
310.00,0.00
312.00,0.00
344.00,0.00
346.00,0.00
366.00,0.00
369.00,0.00
371.00,0.00
364.00,0.00
393.00,0.00
395.00,0.00
243.00,0.00
245.00,0.00
286.00,0.00
288.00,0.00
214.00,0.00
258.00,0.00
283.00,0.00
285.00,0.00
329.00,0.00
331.00,0.00
353.00,0.00
355.00,0.00
365.00,0.00
367.00,0.00
374.00,0.00
378.00,0.00
382.00,0.00
2222.00,0.00
345.00,0.00
2228.00,0.00
452.00,0.00
453.00,0.00
550.00,0.00
551.00,0.00
554.00,0.00
555.00,0.00
1579.00,0.00
1571.00,0.00
2112.00,0.00
2154.00,0.00
2153.00,0.00
97.00,1.00
98.00,1.00
110.00,1.00
111.00,1.00
112.00,1.00
119.00,1.00
196.00,1.00
36.00,1.00
57.00,1.00
58.00,1.00
40.00,1.00
342.00,1.00
423.00,1.00
2234.00,1.00
2239.00,1.00
539.00,1.00
589.00,1.00
2015.00,1.00
2113.00,1.00
2132.00,1.00
2135.00,1.00
2136.00,1.00
2155.00,1.00
2016.00,1.00
145.00,0.00
22.00,0.00
213.00,0.00
251.00,0.00
315.00,0.00
376.00,0.00
384.00,0.00
434.00,0.00
2185.00,0.00
343.00,0.00
526.00,0.00
531.00,0.00
532.00,0.00
45.00,1.00
19.00,1.00
44.00,1.00
397.00,1.00
269.00,1.00
537.00,1.00
450.00,1.00
2122.00,1.00
62.00,1.00
207.00,1.00
176.00,1.00
409.00,1.00
2217.00,1.00
2072.00,1.00
2216.00,1.00
2076.00,1.00
2071.00,1.00
2075.00,1.00
174.00,1.00
175.00,1.00
